Overall Rank,Title,Genre,Developers,IGN Rating,System,Year Released,Number of Players,Game Purchase Price (USD),Links
44,Eternal Darkness: Sanity's Requiem,Adventure,Silicon Knights,9/10,GameCube,2002,1,49.99,https://www.nintendolife.com/games/gamecube/eternal_darkness_sanitys_requiem
45,Super Mario 3D World + Bowser's Fury,Action / Platformer,Nintendo,7/10,Switch,2021,4,59.99,https://www.nintendolife.com/games/nintendo-switch/super_mario_3d_world_plus_bowsers_fury
46,Star Fox 64,Action / Shooter,Nintendo EAD,9/10,N64,1997,4,59.99,https://www.nintendolife.com/games/n64/star_fox_64
47,The Legend of Zelda: The Minish Cap,RPG,Flagship,9/10,Game Boy Advance,2004,1,34.99,https://www.nintendolife.com/games/gba/legend_of_zelda_the_minish_cap
48,Donkey Kong,Puzzle,Nintendo EAD,8/10,Game Boy,1994,1,29.99,https://www.nintendolife.com/games/gameboy/donkey_kong
49,Metroid Fusion,Action / Adventure,Nintendo R&D1,9/10,Game Boy Advance,2002,1,34.99,https://www.nintendolife.com/games/gba/metroid_fusion
50,Donkey Kong Country: Tropical Island,Platformer,Retro Studios,9/10,Wii U,2014,2,49.99,https://www.nintendolife.com/games/wiiu/donkey_kong_country_tropical_freeze
51,Kirby: Planet Robobot,Action / Adventure / Platformer,HAL Laboratory,8/10,3DS,2016,4,39.99,https://www.nintendolife.com/games/3ds/kirby_planet_robobot
52,Paper Mario,RPG,Intelligent Systems,9/10,N64,2001,1,49.99,https://www.nintendolife.com/games/n64/paper_mario
53,Pokemon Emerald,RPG,Game Freak,9/10,Game Boy Advance,2005,1,34.99,https://www.nintendolife.com/games/gba/pokemon_emerald
54,Bayonetta 2,Action / Fighting,PlatinumGames,9/10,Wii U,2014,2,59.99,https://www.nintendolife.com/games/wiiu/bayonetta_2
